Brand,Name,Location,Rating,Number of Ratings,Price
Giusti,"Giusti
Umberto I Rosso Veneto 2015","Montello e Colli Asolani, Italy",4.4,41 ratings,64.99
Ca' del Grevino,"Ca' del Grevino
Grevino Pinot Noir 2014","Santa Maria Valley, United States",4.0,128 ratings,22.99
Roberts + Rogers,"Roberts + Rogers
Napa Five Cabernet Sauvignon N.V.","Napa Valley, United States",4.2,441 ratings,32.99
Palacio de Otoño,"Palacio de Otoño
Rioja Reserva 2017","Rioja, Spain",4.3,43 ratings,19.99
Altos del Enebro,"Altos del Enebro
Tomás González Roble 2020","Ribera del Duero, Spain",4.0,177 ratings,19.99
Clos Apalta,"Clos Apalta
Le Petit Clos 2018","Apalta Valley, Chile",4.3,990 ratings,39.99
Vineyard 29,"Vineyard 29
Cru Cabernet Sauvignon 2018","Napa Valley, United States",4.3,298 ratings,49.99
Pietro Caciorgna,"Pietro Caciorgna
Macchie Terre di Casole Sangiovese 2017","Toscana, Italy",4.3,105 ratings,49.99
Stags' Leap,"Stags' Leap
The Investor Red 2018","Napa Valley, United States",4.2,793 ratings,39.99
Terralsole,"Terralsole
Coldoro Merlot 2005","Toscana, Italy",3.8,27 ratings,39.99
Freeman Vineyard & Winery,"Freeman Vineyard & Winery
Russian River Valley Pinot Noir 2018","Russian River Valley, United States",4.2,65 ratings,79.99
Martin Ray,"Martin Ray
Napa Valley Cabernet Sauvignon 2020","Napa Valley, United States",4.1,191 ratings,19.99
Le Potazzine,"Le Potazzine
Brunello di Montalcino Le Potazzine 2017","Brunello di Montalcino, Italy",4.3,101 ratings,76.99
Le Potazzine,"Le Potazzine
Rosso di Montalcino (Gorelli) 2020","Rosso di Montalcino, Italy",4.1,76 ratings,34.99
Bodegas y Viñedos Nicolas Catena,"Bodegas y Viñedos Nicolas Catena
La Marchigiana Malbec 2021","Mendoza, Argentina",4.2,31 ratings,26.99
Cupano,"Cupano
Brunello di Montalcino Riserva 2015","Brunello di Montalcino, Italy",4.6,72 ratings,169.99
Cupano,"Cupano
Brunello di Montalcino Riserva 2016","Brunello di Montalcino, Italy",4.6,36 ratings,169.99
Clos du Caillou,"Clos du Caillou
La Réserve Châteauneuf-du-Pape 2017","Châteauneuf-du-Pape, France",4.2,41 ratings,119.99
De Stefani,"De Stefani
Kreda 2018","Veneto, Italy",4.4,68 ratings,54.99
Paul Hobbs,"Paul Hobbs
CrossBarn Napa Valley Cabernet Sauvignon 2018","Napa Valley, United States",4.2,1173 ratings,44.99
Francis Ford Coppola Winery,"Francis Ford Coppola Winery
Diamond Collection Merlot 2016","California, United States",3.8,1685 ratings,13.99
Masút,"Masút
Pinot Noir 2017","Mendocino County, United States",4.2,289 ratings,34.99
Barbanera,"Barbanera
Gigino 80 Anniversario 2017","Toscana, Italy",4.1,147 ratings,34.99
Antica,"Antica
Townsend Vineyard Cabernet Sauvignon 2016","Atlas Peak, United States",4.4,111 ratings,84.99
Capanna,"Capanna
Rosso di Montalcino 2018","Rosso di Montalcino, Italy",3.9,699 ratings,24.99
Tenuta Ulisse,"Tenuta Ulisse
Montepulciano d'Abruzzo (Unico) 2020","Montepulciano d'Abruzzo, Italy",4.2,821 ratings,17.99
Montemajor,"Montemajor
Flétris 2021","Puglia, Italy",4.2,34 ratings,17.99
Vignobles de Paloumey,"Vignobles de Paloumey
Ailes de Paloumey Haut-Médoc 2018","Haut-Médoc, France",4.1,328 ratings,17.99
Dominique Raimond,"Dominique Raimond
Château Montfollet Intense Blaye - Côtes de Bordeaux 2019","Blaye - Côtes de Bordeaux, France",4.0,247 ratings,17.99
Grant Burge,"Grant Burge
Barossa Ink Cabernet Sauvignon 2020","Barossa, Australia",3.9,191 ratings,17.99
Belle Glos,"Belle Glos
Dairyman Vineyard Pinot Noir 2021","Russian River Valley, United States",4.4,431 ratings,39.99
