Brand,Name,Location,Rating,Number of Ratings,Price
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1975","Sauternes, France",4.5,102 ratings,Available online from $139
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2016","Barsac, France",4.5,84 ratings,Available online from $51.99
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 1983","Barsac, France",4.5,79 ratings,Available online from $148
Domaine Huet,"Domaine Huet
Vouvray Le Mont Moelleux Première Trie 1989","Vouvray, France",4.5,75 ratings,Available online from $178
Bertani,"Bertani
Recioto della Valpolicella Classico Superiore 1990","Recioto della Valpolicella, Italy",4.5,71 ratings,Available online from $338
Château Doisy-Daëne,"Château Doisy-Daëne
Barsac (Grand Cru Classé) 1996","Barsac, France",4.5,71 ratings,Available online from $68
Bertani,"Bertani
Recioto della Valpolicella Classico Superiore 1980","Recioto della Valpolicella, Italy",4.5,69 ratings,Available online from $399
Château Filhot,"Château Filhot
Sauternes (Grand Cru Classé) 1989","Sauternes, France",4.5,68 ratings,Available online from $68
Domaine Huet,"Domaine Huet
Cuvée Constance 2003","Vouvray, France",4.5,67 ratings,Available online from $175
Bussola,"Bussola
Recioto Della Valpolicella Classico 2012","Recioto della Valpolicella, Italy",4.5,66 ratings,Available online from $64.99
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 1976","Sauternes, France",4.5,65 ratings,Available online from $199
Château Gilette,"Château Gilette
Sauternes (Crème de Tête) 1983","Sauternes, France",4.5,63 ratings,Available online from $330
Dolce,"Dolce
Dolce (Late Harvest) 2015","Napa Valley, United States",4.5,62 ratings,Available online from $79.99
Château Raymond-Lafon,"Château Raymond-Lafon
Sauternes 1988","Sauternes, France",4.5,61 ratings,Available online from $154.29
Inniskillin,"Inniskillin
Gold Vidal Icewine 2018","Niagara Peninsula, Canada",4.5,60 ratings,Available online from $92.99
Château Doisy-Daëne,"Château Doisy-Daëne
L'Extravagant de Doisy-Daëne Sauternes 2010","Sauternes, France",4.5,60 ratings,Available online from $291.95
Kracher,"Kracher
Grande Cuvée Nummer 6 Nouvelle Vague Trockenbeerenauslese 2012","Burgenland, Austria",4.5,55 ratings,Available online from $110
Avignonesi,"Avignonesi
Vin Santo di Montepulciano 2005","Vin Santo di Montepulciano, Italy",4.5,53 ratings,Available online from $203.51
Château de Fargues,"Château de Fargues
Sauternes (Lur Saluces) 1983","Sauternes, France",4.5,48 ratings,Available online from $249.99
Château de Fargues,"Château de Fargues
Sauternes (Lur Saluces) 1986","Sauternes, France",4.5,47 ratings,Available online from $139
Quintarelli Giuseppe,"Quintarelli Giuseppe
Recioto della Valpolicella Classico 2011","Recioto della Valpolicella, Italy",4.5,47 ratings,Available online from $349.89
Dolce,"Dolce
Dolce (Late Harvest) 2005","Napa Valley, United States",4.5,45 ratings,Available online from $99
Château Gilette,"Château Gilette
Sauternes (Crème de Tête) 1978","Sauternes, France",4.5,42 ratings,Available online from $249.99
Honig,"Honig
Sauvignon Blanc Late Harvest 2018","Rutherford, United States",4.5,40 ratings,Available online from $75
Jorge Ordóñez,"Jorge Ordóñez
No. 3 Old Vines 2005","Málaga, Spain",4.5,39 ratings,Available online from $53.95
Château Filhot,"Château Filhot
Sauternes (Grand Cru Classé) 1986","Sauternes, France",4.5,36 ratings,Available online from $75
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 1982","Barsac, France",4.5,36 ratings,Available online from $235
Capezzana,"Capezzana
Vin Santo Di Carmignano Riserva 2012","Carmignano, Italy",4.5,35 ratings,Available online from $49.99
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 1981","Barsac, France",4.5,34 ratings,Available online from $169
Bertani,"Bertani
Recioto della Valpolicella Classico Superiore 1986","Recioto della Valpolicella, Italy",4.5,34 ratings,Available online from $295
Rolet,"Rolet
Vin de Paille Arbois 2013","Arbois, France",4.5,33 ratings,Available online from $35.99
